Date,Min,Avg,Max
2019-09-05,1.55,1.55,1.55
2019-09-12,1.55,1.55,1.55
2019-09-19,1.55,1.55,1.55
2019-09-26,1.55,1.55,1.55
2019-10-03,1.55,1.55,1.55
2019-10-10,1.55,1.55,1.55
2019-10-17,1.55,1.55,1.55
2019-10-24,1.55,1.55,1.55
2019-10-31,1.55,1.55,1.55
2019-11-07,1.55,1.55,1.55
2019-11-14,1.55,1.55,1.55
2019-11-21,1.55,1.55,1.55
2019-11-28,1.55,1.55,1.55
2019-12-05,1.55,1.55,1.55
2019-12-12,1.55,1.55,1.55
2019-12-19,1.55,1.55,1.55
2019-12-26,1.55,1.55,1.55
2020-01-02,1.55,1.55,1.55
2020-01-09,1.55,1.55,1.55
2020-01-16,1.55,1.55,1.55
2020-01-23,1.55,1.55,1.55
2020-01-30,1.55,1.55,1.55
2020-02-06,1.55,1.55,1.55
2020-02-13,1.55,1.55,1.55
2020-02-20,1.55,1.55,1.55
2020-02-27,1.55,1.55,1.55
2020-03-05,1.55,1.55,1.55
2020-03-12,1.55,1.55,1.55
2020-03-19,1.55,1.55,1.55
2020-03-26,1.55,1.55,1.55
2020-04-02,1.55,1.55,1.55
2020-04-09,1.55,1.55,1.55
2020-04-16,1.55,1.55,1.55
2020-04-23,1.55,1.55,1.55
2020-04-30,1.55,1.55,1.55
2020-05-07,1.55,1.55,1.55
2020-05-14,1.55,1.55,1.55
2020-05-21,1.55,1.55,1.55
2020-05-28,1.55,1.55,1.55
2020-06-04,1.55,1.55,1.55
2020-06-11,1.55,1.55,1.55
2020-06-18,1.55,1.55,1.55
2020-06-25,1.55,1.55,1.55
2020-07-02,1.55,1.55,1.55
2020-07-09,1.55,1.55,1.55
2020-07-16,1.55,1.55,1.55
2020-07-23,1.55,1.55,1.55
2020-07-29,1.55,1.55,1.55
2020-08-06,1.55,1.55,1.55
2020-08-13,1.55,1.55,1.55
2020-08-20,1.55,1.55,1.55
2020-08-27,1.55,1.55,1.55
2020-09-03,1.55,1.55,1.55
2020-09-10,1.55,1.55,1.55
2020-09-17,1.55,1.55,1.55
2020-09-24,1.55,1.55,1.55
2020-10-01,1.55,1.55,1.55
2020-10-08,1.55,1.55,1.55
2020-10-15,1.55,1.55,1.55
2020-10-22,1.55,1.55,1.55
2020-10-29,1.55,1.55,1.55
2020-11-05,1.55,1.55,1.55
2020-11-12,1.55,1.55,1.55
2020-11-19,1.55,1.55,1.55
2020-11-26,1.55,1.55,1.55
2020-12-03,1.55,1.55,1.55
2020-12-10,1.55,1.55,1.55
2020-12-17,1.55,1.55,1.55
2020-12-24,1.55,1.55,1.55
2020-12-31,1.55,1.55,1.55
2021-01-07,1.55,1.55,1.55
2021-01-14,1.55,1.55,1.55
2021-01-21,1.55,1.55,1.55
2021-01-28,1.55,1.55,1.55
2021-02-04,1.55,1.55,1.55
2021-02-11,1.55,1.55,1.55
2021-02-18,1.55,1.55,1.55
2021-02-25,1.55,1.55,1.55
2021-03-04,1.55,1.55,1.55
2021-03-11,1.55,1.55,1.55
2021-03-18,1.55,1.55,1.55
2021-03-25,1.55,1.55,1.55
2021-04-01,1.55,1.55,1.55
2021-04-08,1.55,1.55,1.55
2021-04-15,1.79,1.79,1.79
2021-04-22,1.79,1.79,1.79
2021-04-29,1.79,1.79,1.79
2021-05-06,1.79,1.79,1.79
2021-05-20,1.79,1.79,1.79
2021-05-27,1.79,1.79,1.79
2021-06-03,1.79,1.79,1.79
2021-06-10,1.79,1.79,1.79
2021-06-17,1.79,1.79,1.79
2021-06-24,1.79,1.79,1.79
2021-07-01,1.79,1.79,1.79
2021-07-08,1.79,1.79,1.79
2021-07-15,1.79,1.79,1.79
2021-07-29,1.79,1.79,1.79
2021-08-05,1.79,1.79,1.79
2021-08-12,1.79,1.79,1.79
2021-08-26,1.79,1.79,1.79
2021-09-02,1.79,1.79,1.79
2021-09-09,1.79,1.79,1.79
2021-09-16,1.79,1.79,1.79
2021-09-23,1.79,1.79,1.79
2021-09-30,1.79,1.79,1.79
2021-10-07,1.79,1.79,1.79
2021-10-14,1.79,1.79,1.79
2021-10-21,1.79,1.79,1.79
