Date,Min,Avg,Max
9/5/2019,42,43.36,45
9/12/2019,42,43.6,45
9/19/2019,42,44.06,46.2
9/26/2019,42,44.06,46.2
10/3/2019,42,44.06,46.2
10/10/2019,42,44.06,46.2
10/17/2019,42,44.52,50
10/24/2019,42,44.52,50
10/31/2019,42,44.52,50
11/7/2019,42,44.75,50
11/14/2019,42,44.75,50
11/21/2019,42,44.75,50
11/28/2019,42,44.87,50
12/5/2019,42,44.87,50
12/12/2019,42,44.94,50
12/19/2019,42,44.94,50
12/26/2019,42,44.94,50
1/2/2020,42,44.94,50
1/9/2020,42,45.1,53
1/16/2020,42,45.2,55
1/23/2020,42,45.2,55
1/30/2020,42,45.2,55
2/6/2020,42,45.2,55
2/13/2020,43,45.38,55
2/20/2020,43,45.38,55
2/27/2020,43,45.38,55
3/5/2020,43,45.55,55
3/12/2020,43,45.55,55
3/19/2020,43,45.55,55
3/26/2020,43,45.55,55
4/2/2020,43,45.55,55
4/9/2020,43,45.55,55
4/16/2020,43,45.55,55
4/23/2020,43,45.55,55
4/30/2020,43,45.55,55
5/7/2020,43,45.55,55
5/14/2020,43,45.55,55
5/21/2020,43,45.55,55
5/28/2020,43,45.55,55
6/4/2020,43,45.55,55
6/11/2020,43,45.55,55
6/18/2020,43,45.55,55
6/25/2020,43,45.55,55
7/2/2020,43,45.55,55
7/9/2020,43,45.67,55
7/16/2020,43,45.67,55
7/23/2020,43,45.67,55
7/29/2020,43,45.67,55
8/6/2020,43,45.67,55
8/13/2020,43,45.67,55
8/20/2020,43,45.67,55
8/27/2020,43,45.67,55
9/3/2020,43,45.79,55
9/10/2020,43,45.79,55
9/17/2020,43,45.79,55
9/24/2020,43,45.79,55
10/1/2020,43,45.79,55
10/8/2020,43,45.79,55
10/15/2020,43,45.79,55
10/22/2020,43,45.79,55
10/29/2020,43,45.79,55
11/5/2020,43,45.79,55
11/12/2020,43,45.79,55
11/19/2020,43,45.79,55
11/26/2020,43,45.79,55
12/3/2020,43,45.79,55
12/10/2020,43,45.79,55
12/17/2020,43,45.79,55
12/24/2020,43,45.79,55
12/31/2020,43,45.79,55
1/7/2021,43,46.47,55
1/14/2021,43,46.51,55
1/21/2021,43,46.51,55
1/28/2021,43,46.82,55
2/4/2021,43,47.06,55
2/11/2021,43,47.1,55
2/18/2021,43,47.1,55
2/25/2021,43,47.45,55
3/4/2021,43,48.34,55
3/11/2021,43,48.34,55
3/18/2021,43,48.34,55
3/25/2021,43,48.62,55
4/1/2021,43,48.62,55
4/8/2021,43,48.62,55
4/15/2021,43,48.68,55
4/22/2021,43,48.74,55
4/29/2021,45,49.11,55
5/6/2021,45,49.35,55
5/20/2021,45,49.48,55
5/27/2021,45,49.48,55
6/3/2021,45,49.48,55
6/10/2021,45,49.95,60
6/17/2021,45,50.13,60
6/24/2021,45,50.83,60
7/1/2021,45,50.83,60
7/8/2021,46.2,51.64,60
7/15/2021,46.2,51.64,60
7/29/2021,46.2,51.89,60
8/5/2021,46.2,51.89,60
8/12/2021,46.2,51.89,60
8/26/2021,46.2,52.14,60
9/2/2021,46.2,52.14,60
9/9/2021,46.2,52.14,60
2021-09-16,48.0,52.56,60.0
2021-09-23,50.0,52.69,60.0
