Date,Min,Avg,Max
2019-09-05,43.0,43.0,43.0
2019-09-12,43.0,43.0,43.0
2019-09-19,43.0,43.0,43.0
2019-09-26,43.0,43.0,43.0
2019-10-03,43.0,43.0,43.0
2019-10-10,43.0,43.0,43.0
2019-10-17,43.0,43.0,43.0
2019-10-24,43.0,43.0,43.0
2019-10-31,43.0,43.0,43.0
2019-11-07,43.0,43.0,43.0
2019-11-14,43.0,43.0,43.0
2019-11-21,43.0,43.0,43.0
2019-11-28,43.0,43.0,43.0
2019-12-05,43.0,43.0,43.0
2019-12-12,43.0,43.0,43.0
2019-12-19,43.0,43.0,43.0
2019-12-26,43.0,43.0,43.0
2020-01-02,43.0,43.0,43.0
2020-01-09,43.0,43.0,43.0
2020-01-16,43.0,43.0,43.0
2020-01-23,43.0,43.0,43.0
2020-01-30,43.0,43.0,43.0
2020-02-06,43.0,43.0,43.0
2020-02-13,43.0,43.0,43.0
2020-02-20,43.0,43.0,43.0
2020-02-27,43.0,43.0,43.0
2020-03-05,43.0,43.0,43.0
2020-03-12,43.0,43.0,43.0
2020-03-19,43.0,43.0,43.0
2020-03-26,43.0,43.0,43.0
2020-04-02,43.0,43.0,43.0
2020-04-09,43.0,43.0,43.0
2020-04-16,43.0,43.0,43.0
2020-04-23,43.0,43.0,43.0
2020-04-30,43.0,43.0,43.0
2020-05-07,43.0,43.0,43.0
2020-05-14,43.0,43.0,43.0
2020-05-21,43.0,43.0,43.0
2020-05-28,43.0,43.0,43.0
2020-06-04,43.0,43.0,43.0
2020-06-11,43.0,43.0,43.0
2020-06-18,43.0,43.0,43.0
2020-06-25,43.0,43.0,43.0
2020-07-02,43.0,43.0,43.0
2020-07-09,43.0,43.0,43.0
2020-07-16,43.0,43.0,43.0
2020-07-23,43.0,43.0,43.0
2020-07-29,43.0,43.0,43.0
2020-08-06,43.0,43.0,43.0
2020-08-13,43.0,43.0,43.0
2020-08-20,43.0,43.0,43.0
2020-08-27,43.0,43.0,43.0
2020-09-03,45.0,45.0,45.0
2020-09-10,45.0,45.0,45.0
2020-09-17,45.0,45.0,45.0
2020-09-24,45.0,45.0,45.0
2020-10-01,45.0,45.0,45.0
2020-10-08,45.0,45.0,45.0
2020-10-15,45.0,45.0,45.0
2020-10-22,45.0,45.0,45.0
2020-10-29,45.0,45.0,45.0
2020-11-05,45.0,45.0,45.0
2020-11-12,45.0,45.0,45.0
2020-11-19,45.0,45.0,45.0
2020-11-26,45.0,45.0,45.0
2020-12-03,45.0,45.0,45.0
2020-12-10,45.0,45.0,45.0
2020-12-17,45.0,45.0,45.0
2020-12-24,45.0,45.0,45.0
2020-12-31,45.0,45.0,45.0
2021-01-07,45.0,45.0,45.0
2021-01-14,45.0,45.0,45.0
2021-01-21,45.0,45.0,45.0
2021-01-28,45.0,45.0,45.0
2021-02-04,45.0,45.0,45.0
2021-02-11,45.0,45.0,45.0
2021-02-18,45.0,45.0,45.0
2021-02-25,45.0,45.0,45.0
2021-03-04,51.0,51.0,51.0
2021-03-11,51.0,51.0,51.0
2021-03-18,51.0,51.0,51.0
2021-03-25,51.0,51.0,51.0
2021-04-01,51.0,51.0,51.0
2021-04-08,51.0,51.0,51.0
2021-04-15,51.0,51.0,51.0
2021-04-22,51.0,51.0,51.0
2021-04-29,51.0,51.0,51.0
2021-05-06,51.0,51.0,51.0
2021-05-20,51.0,51.0,51.0
2021-05-27,51.0,51.0,51.0
2021-06-03,51.0,51.0,51.0
2021-06-10,51.0,51.0,51.0
2021-06-17,51.0,51.0,51.0
2021-06-24,51.0,51.0,51.0
2021-07-01,51.0,51.0,51.0
2021-07-08,51.0,51.0,51.0
2021-07-15,51.0,51.0,51.0
2021-07-29,51.0,51.0,51.0
2021-08-05,51.0,51.0,51.0
2021-08-12,51.0,51.0,51.0
2021-08-26,51.0,51.0,51.0
2021-09-02,51.0,51.0,51.0
2021-09-09,51.0,51.0,51.0
2021-09-16,51.0,51.0,51.0
2021-09-23,51.0,51.0,51.0
2021-09-30,51.0,51.0,51.0
2021-10-07,51.0,51.0,51.0
2021-10-14,51.0,51.0,51.0
2021-10-21,51.0,51.0,51.0
2021-10-28,51.0,51.0,51.0
2021-12-02,51.0,51.0,51.0
2021-11-04,51.0,51.0,51.0
