Date,Min,Avg,Max
2019-09-05,40.0,46.42,50.0
2019-09-12,50.0,52.33,60.0
2019-09-19,50.0,54.77,60.0
2019-09-26,50.0,57.93,70.0
2019-10-03,60.0,64.81,70.0
2019-10-10,70.0,74.83,80.0
2019-10-17,80.0,89.44,100.0
2019-10-24,100.0,112.92,120.0
2019-10-31,140.0,153.03,160.0
2019-11-07,140.0,153.03,160.0
2019-11-14,200.0,211.0,240.0
2019-11-21,200.0,229.31,240.0
2019-11-28,160.0,164.78,180.0
2019-12-05,140.0,143.15,160.0
2019-12-12,80.0,95.7,120.0
2019-12-19,80.0,89.63,100.0
2019-12-26,80.0,86.36,100.0
2020-01-02,140.0,150.7,160.0
2020-01-09,100.0,116.41,120.0
2020-01-16,60.0,72.68,80.0
2020-01-23,50.0,59.72,70.0
2020-01-30,40.0,49.08,50.0
2020-02-06,40.0,46.42,50.0
2020-02-13,30.0,35.48,40.0
2020-02-20,20.0,30.4,40.0
2020-02-27,20.0,23.48,30.0
2020-03-05,15.0,18.61,20.0
2020-03-12,15.0,19.06,20.0
2020-03-19,25.0,28.23,30.0
2020-03-26,25.0,30.53,40.0
2020-04-02,15.0,19.32,25.0
2020-04-09,10.0,16.75,20.0
2020-04-16,10.0,13.94,20.0
2020-04-23,10.0,13.94,20.0
2020-04-30,15.0,18.17,20.0
2020-05-07,20.0,26.21,30.0
2020-05-14,20.0,26.21,30.0
2020-05-21,30.0,34.64,40.0
2020-05-28,20.0,26.21,30.0
2020-06-04,20.0,24.49,30.0
2020-06-11,30.0,36.34,40.0
2020-06-18,40.0,52.77,60.0
2020-06-25,60.0,72.68,80.0
2020-07-02,80.0,86.18,100.0
2020-07-09,80.0,98.16,100.0
2020-07-16,70.0,74.83,80.0
2020-07-23,70.0,77.37,80.0
2020-07-29,80.0,96.35,100.0
2020-08-06,40.0,47.85,60.0
2020-08-13,50.0,56.46,60.0
2020-08-20,50.0,52.33,60.0
2020-08-27,60.0,71.21,80.0
2020-09-03,60.0,78.1,80.0
2020-09-10,60.0,67.99,80.0
2020-09-17,80.0,96.35,100.0
2020-09-24,100.0,109.54,120.0
2020-10-01,100.0,109.54,120.0
2020-10-08,120.0,136.45,140.0
2020-10-15,140.0,156.48,160.0
2020-10-22,120.0,131.29,140.0
2020-10-29,200.0,215.79,240.0
2020-11-05,140.0,154.75,160.0
2020-11-12,160.0,166.41,180.0
2020-11-19,140.0,144.75,160.0
2020-11-26,120.0,124.71,140.0
2020-12-03,100.0,109.54,120.0
2020-12-10,100.0,104.66,120.0
2020-12-17,70.0,78.24,80.0
2020-12-24,80.0,94.57,100.0
2020-12-31,60.0,78.1,80.0
2021-01-07,60.0,71.21,80.0
2021-01-14,50.0,56.46,60.0
2021-01-21,40.0,47.85,60.0
2021-01-28,25.0,30.07,40.0
2021-02-04,20.0,25.04,30.0
2021-02-11,15.0,19.21,25.0
2021-02-18,15.0,19.21,25.0
2021-02-25,15.0,17.65,25.0
2021-03-04,15.0,17.65,25.0
2021-03-11,15.0,17.65,25.0
2021-03-18,20.0,24.13,30.0
2021-03-25,20.0,22.97,30.0
2021-04-01,20.0,27.49,35.0
2021-04-08,20.0,27.49,35.0
2021-04-15,20.0,27.49,35.0
2021-04-22,20.0,27.49,35.0
2021-04-29,25.0,29.79,35.0
2021-05-06,25.0,29.79,35.0
2021-05-20,20.0,25.9,30.0
2021-05-27,25.0,29.86,35.0
2021-06-03,30.0,35.48,40.0
2021-06-10,30.0,35.48,40.0
2021-06-17,40.0,45.41,60.0
2021-06-24,50.0,53.13,60.0
2021-07-01,60.0,67.12,80.0
2021-07-08,60.0,66.38,80.0
2021-07-15,60.0,66.38,80.0
2021-07-29,60.0,62.36,70.0
2021-08-05,60.0,64.81,70.0
2021-08-12,80.0,89.44,100.0
2021-08-26,50.0,54.77,60.0
2021-09-02,40.0,48.17,50.0
2021-09-09,70.0,74.01,80.0
2021-09-16,60.0,61.56,70.0
2021-09-23,50.0,59.72,70.0
2021-09-30,50.0,59.72,70.0
2021-10-07,50.0,59.72,70.0
