Date,Min,Avg,Max
2019-09-05,50.0,51.61,55.0
2019-09-12,70.0,74.89,80.0
2019-09-19,60.0,69.52,80.0
2019-09-26,60.0,64.87,70.0
2019-10-03,60.0,60.0,60.0
2019-10-10,75.0,77.47,80.0
2019-10-17,75.0,77.47,80.0
2019-10-24,100.0,109.7,120.0
2019-10-31,120.0,124.93,130.0
2019-11-07,150.0,154.95,160.0
2019-11-14,240.0,244.97,250.0
2019-11-21,260.0,269.88,280.0
2019-11-28,200.0,209.84,220.0
2019-12-05,220.0,229.85,240.0
2019-12-12,120.0,129.74,140.0
2019-12-19,140.0,140.0,140.0
2019-12-26,110.0,114.93,120.0
2020-01-02,140.0,149.78,160.0
2020-01-09,140.0,144.94,150.0
2020-01-16,80.0,89.63,100.0
2020-01-23,60.0,64.87,70.0
2020-01-30,60.0,60.0,60.0
2020-02-06,50.0,50.0,50.0
2020-02-13,40.0,40.0,40.0
2020-02-20,35.0,38.26,40.0
2020-02-27,30.0,34.76,40.0
2020-03-05,30.0,30.0,30.0
2020-03-12,25.0,28.23,30.0
2020-03-19,30.0,34.76,40.0
2020-03-26,40.0,40.0,40.0
2020-04-02,35.0,35.0,35.0
2020-04-09,20.0,20.0,20.0
2020-04-16,15.0,16.51,20.0
2020-04-23,10.0,12.33,15.0
2020-04-30,10.0,12.33,15.0
2020-05-07,10.0,10.0,10.0
2020-05-14,10.0,10.0,10.0
2020-05-21,15.0,16.51,20.0
2020-05-28,20.0,20.0,20.0
2020-06-04,20.0,20.0,20.0
2020-06-11,25.0,26.57,30.0
2020-06-18,50.0,54.85,60.0
2020-06-25,70.0,70.0,70.0
2020-07-02,80.0,86.18,100.0
2020-07-09,90.0,94.91,100.0
2020-07-16,100.0,100.0,100.0
2020-07-23,80.0,86.18,100.0
2020-07-29,100.0,106.27,120.0
2020-08-06,50.0,53.13,60.0
2020-08-13,50.0,56.46,60.0
2020-08-20,50.0,50.0,50.0
2020-08-27,80.0,80.0,80.0
2020-09-03,70.0,73.19,80.0
2020-09-10,80.0,80.0,80.0
2020-09-17,80.0,80.0,80.0
2020-09-24,70.0,74.89,80.0
2020-10-01,100.0,106.27,120.0
2020-10-08,120.0,126.33,140.0
2020-10-15,160.0,163.27,170.0
2020-10-22,150.0,153.26,160.0
2020-10-29,220.0,233.14,240.0
2020-11-05,120.0,126.33,140.0
2020-11-12,130.0,133.25,140.0
2020-11-19,130.0,133.25,140.0
2020-11-26,120.0,126.58,130.0
2020-12-03,120.0,123.24,130.0
2020-12-10,100.0,106.27,120.0
2020-12-17,100.0,100.0,100.0
2020-12-24,80.0,83.2,90.0
2020-12-31,80.0,83.2,90.0
2021-01-07,80.0,80.0,80.0
2021-01-14,70.0,73.19,80.0
2021-01-21,60.0,63.16,70.0
2021-01-28,30.0,33.02,40.0
2021-02-04,25.0,25.0,25.0
2021-02-11,20.0,21.54,25.0
2021-02-18,15.0,18.17,20.0
2021-02-25,15.0,16.51,20.0
2021-03-04,20.0,20.0,20.0
2021-03-11,20.0,20.0,20.0
2021-03-18,25.0,28.23,30.0
2021-03-25,30.0,30.0,30.0
2021-04-01,40.0,40.0,40.0
2021-04-08,30.0,30.0,30.0
2021-04-15,30.0,30.0,30.0
2021-04-22,30.0,30.0,30.0
2021-04-29,20.0,23.21,25.0
2021-05-06,25.0,25.0,25.0
2021-05-20,5.0,6.3,10.0
2021-05-27,10.0,10.0,10.0
2021-06-03,10.0,11.45,15.0
2021-06-10,20.0,20.0,20.0
2021-06-17,40.0,40.0,40.0
2021-06-24,40.0,43.09,50.0
2021-07-01,80.0,80.0,80.0
2021-07-08,70.0,73.19,80.0
2021-07-15,70.0,73.19,80.0
2021-07-29,70.0,76.52,80.0
2021-08-05,60.0,60.0,60.0
2021-08-12,80.0,80.0,80.0
2021-08-26,50.0,56.46,60.0
2021-09-02,50.0,56.46,60.0
2021-09-09,70.0,70.0,70.0
2021-09-16,50.0,53.13,60.0
2021-09-23,70.0,76.52,80.0
2021-09-30,70.0,76.52,80.0
2021-10-07,70.0,76.52,80.0
2021-10-14,70.0,76.52,80.0
2021-10-21,70.0,76.52,80.0
2021-10-28,70.0,76.52,80.0
2021-12-02,70.0,76.52,80.0
