Date,Min,Avg,Max
9/5/2019,50,53.13,60
9/12/2019,70,70,70
9/19/2019,50,50,50
9/26/2019,50,50,50
10/3/2019,70,73.19,80
10/10/2019,50,50,50
10/17/2019,80,83.2,90
10/24/2019,100,100,100
10/31/2019,120,120,120
11/7/2019,160,160,160
11/14/2019,220,220,220
11/21/2019,250,250,250
11/28/2019,220,220,220
12/5/2019,180,180,180
12/12/2019,120,120,120
12/19/2019,120,120,120
12/26/2019,110,110,110
1/2/2020,140,140,140
1/9/2020,150,150,150
1/16/2020,120,120,120
1/23/2020,80,80,80
1/30/2020,70,70,70
2/6/2020,60,60,60
2/13/2020,40,43.09,50
2/20/2020,40,43.09,50
2/27/2020,40,43.09,50
3/5/2020,40,43.09,50
3/12/2020,40,43.09,50
3/19/2020,60,60,60
3/26/2020,60,60,60
4/2/2020,40,40,40
4/9/2020,40,43.09,50
4/16/2020,40,43.09,50
4/23/2020,40,43.09,50
4/30/2020,30,30,30
5/7/2020,30,30,30
5/14/2020,30,30,30
5/21/2020,30,33.02,40
5/28/2020,20,20,20
6/4/2020,25,25,25
6/11/2020,25,25,25
6/18/2020,30,30,30
6/25/2020,60,60,60
7/2/2020,80,80,80
7/9/2020,120,120,120
7/16/2020,80,80,80
7/23/2020,90,93.22,100
7/29/2020,100,100,100
8/6/2020,80,80,80
8/13/2020,80,80,80
8/20/2020,80,80,80
8/27/2020,70,70,70
9/3/2020,80,80,80
9/10/2020,80,80,80
9/17/2020,100,100,100
9/24/2020,100,100,100
10/1/2020,110,110,110
10/8/2020,150,150,150
10/15/2020,140,146.59,150
10/22/2020,140,143.26,150
10/29/2020,200,200,200
11/5/2020,160,160,160
11/12/2020,150,156.59,160
11/19/2020,170,173.27,180
11/26/2020,170,173.27,180
12/3/2020,130,139.76,150
12/10/2020,120,123.24,130
12/17/2020,100,100,100
12/24/2020,100,103.23,110
12/31/2020,110,116.57,120
1/7/2021,100,100,100
1/14/2021,70,76.52,80
1/21/2021,70,73.19,80
1/28/2021,50,53.13,60
2/4/2021,40,40,40
2/11/2021,40,40,40
2/18/2021,40,40,40
2/25/2021,40,40,40
3/4/2021,30,36.34,40
3/11/2021,40,40,40
3/18/2021,50,50,50
3/25/2021,70,76.52,80
4/1/2021,60,66.49,70
4/8/2021,70,73.19,80
4/15/2021,80,86.53,90
4/22/2021,40,40,40
4/29/2021,30,36.34,40
5/6/2021,30,36.34,40
5/20/2021,30,33.02,40
5/27/2021,30,33.02,40
6/3/2021,30,33.02,40
6/10/2021,30,33.02,40
6/17/2021,40,40,40
6/24/2021,40,43.09,50
7/1/2021,60,63.16,70
7/8/2021,70,76.52,80
7/15/2021,80,80,80
7/29/2021,75,76.63,80
8/5/2021,80,80,80
8/12/2021,80,86.18,100
8/26/2021,70,70,70
9/2/2021,70,70,70
9/9/2021,70,73.19,80
