Date,Min,Avg,Max
9/5/2019,50,50,50
9/12/2019,50,50,50
9/19/2019,50,50,50
9/26/2019,50,50,50
10/3/2019,50,50,50
10/10/2019,50,50,50
10/17/2019,50,50,50
10/24/2019,50,50,50
10/31/2019,50,50,50
11/7/2019,50,50,50
11/14/2019,50,50,50
11/21/2019,50,50,50
11/28/2019,50,50,50
12/5/2019,50,50,50
12/12/2019,50,50,50
12/19/2019,50,50,50
12/26/2019,50,50,50
1/2/2020,50,50,50
1/9/2020,50,50,50
1/16/2020,50,50,50
1/23/2020,50,50,50
1/30/2020,50,50,50
2/6/2020,50,50,50
2/13/2020,50,50,50
2/20/2020,50,50,50
2/27/2020,50,50,50
3/5/2020,50,50,50
3/12/2020,50,50,50
3/19/2020,50,50,50
3/26/2020,50,50,50
4/2/2020,50,50,50
4/9/2020,50,50,50
4/16/2020,50,50,50
4/23/2020,50,50,50
4/30/2020,50,50,50
5/7/2020,50,50,50
5/14/2020,50,50,50
5/21/2020,50,50,50
5/28/2020,50,50,50
6/4/2020,50,50,50
6/11/2020,50,50,50
6/18/2020,50,50,50
6/25/2020,50,50,50
7/2/2020,50,50,50
7/9/2020,50,50,50
7/16/2020,50,50,50
7/23/2020,50,50,50
7/29/2020,50,50,50
8/6/2020,50,50,50
8/13/2020,50,50,50
8/20/2020,50,50,50
8/27/2020,50,50,50
9/3/2020,50,50,50
9/10/2020,50,50,50
9/17/2020,50,50,50
9/24/2020,50,50,50
10/1/2020,50,50,50
10/8/2020,50,50,50
10/15/2020,50,50,50
10/22/2020,50,50,50
10/29/2020,50,50,50
11/5/2020,50,50,50
11/12/2020,50,50,50
11/19/2020,50,50,50
11/26/2020,50,50,50
12/3/2020,50,50,50
12/10/2020,50,50,50
12/17/2020,50,50,50
12/24/2020,50,50,50
12/31/2020,50,50,50
1/7/2021,50,50,50
1/14/2021,50,50,50
1/21/2021,50,50,50
1/28/2021,50,50,50
2/4/2021,55,55,55
2/11/2021,55,55,55
2/18/2021,55,55,55
2/25/2021,55,55,55
3/4/2021,55,55,55
3/11/2021,55,55,55
3/18/2021,60,60,60
3/25/2021,60,60,60
4/1/2021,60,60,60
4/8/2021,60,60,60
4/15/2021,60,60,60
4/22/2021,60,60,60
4/29/2021,60,60,60
5/6/2021,60,60,60
5/20/2021,60,60,60
5/27/2021,60,60,60
6/3/2021,60,60,60
6/10/2021,60,60,60
6/17/2021,60,60,60
6/24/2021,60,60,60
7/1/2021,60,60,60
7/8/2021,60,60,60
7/15/2021,60,60,60
7/29/2021,60,60,60
8/5/2021,60,60,60
8/12/2021,60,60,60
8/26/2021,60,60,60
9/2/2021,60,60,60
9/9/2021,60,60,60
2021-09-16,60.0,60.0,60.0
2021-09-23,60.0,60.0,60.0
