Date,Min,Avg,Max
9/5/2019,780,858.9,1080
9/12/2019,780,862.88,1080
9/19/2019,780,870.98,1100
9/26/2019,780,871.48,1100
10/3/2019,790,881.47,1100
10/10/2019,790,882.75,1100
10/17/2019,790,893.44,1120
10/24/2019,808,908.27,1140
10/31/2019,808,923.53,1160
11/7/2019,808,916.32,1200
11/14/2019,808,921.34,1200
11/21/2019,808,919.02,1200
11/28/2019,808,913.21,1180
12/5/2019,808,905.52,1180
12/12/2019,808,905.45,1180
12/19/2019,808,905.9,1180
12/26/2019,808,908.99,1180
1/2/2020,808,918.09,1180
1/9/2020,808,943.77,1180
1/16/2020,805,968.16,1360
1/23/2020,805,955.17,1360
1/30/2020,805,937.76,1320
2/6/2020,805,916.28,1240
2/13/2020,805,908.88,1200
2/20/2020,805,895.53,1200
2/27/2020,805,882.95,1120
3/5/2020,805,872.71,1120
3/12/2020,805,883.17,1120
3/19/2020,805,890.59,1160
3/26/2020,805,916.36,1200
4/2/2020,805,912.96,1200
4/9/2020,805,889.53,1160
4/16/2020,805,877.23,1160
4/23/2020,805,873.48,1120
4/30/2020,800,870.05,1120
5/7/2020,800,865.8,1180
5/14/2020,805,865.36,1140
5/21/2020,805,885.69,1140
5/28/2020,805,896.14,1140
6/4/2020,810,972.69,1140
6/11/2020,810,988.58,1160
6/18/2020,930,1038.15,1200
6/25/2020,940,1042.98,1200
7/2/2020,960,1048.97,1200
7/9/2020,860,1042.25,1200
7/16/2020,860,959.14,1240
7/23/2020,860,993.17,1360
7/29/2020,860,1003.9,1360
8/6/2020,860,996.32,1400
8/13/2020,860,1002.28,1400
8/20/2020,860,1002.57,1400
8/27/2020,860,998.35,1400
9/3/2020,860,997.61,1380
9/10/2020,860,1012.41,1360
9/17/2020,860,1013.95,1360
9/24/2020,860,1014.23,1360
10/1/2020,860,1016.2,1360
10/8/2020,860,1044.45,1500
10/15/2020,860,1048.62,1500
10/22/2020,860,1034.86,1480
10/29/2020,855,1028.23,1400
11/5/2020,836.6,988.94,1380
11/12/2020,836.6,984.25,1350
11/19/2020,836.6,981.16,1350
11/26/2020,836.6,979.22,1320
12/3/2020,836.6,975.5,1340
12/10/2020,836.6,968.47,1340
12/17/2020,836.6,966.47,1340
12/24/2020,836.6,972,1340
12/31/2020,836.6,973.78,1320
1/7/2021,836.6,948.34,1300
1/14/2021,836.6,949.26,1400
1/21/2021,836.6,947.17,1400
1/28/2021,836.6,946.54,1360
2/4/2021,836.6,946.3,1360
2/11/2021,836.6,970.18,1360
2/18/2021,836.6,950.85,1400
2/25/2021,836.6,955.98,1360
3/4/2021,836.6,947.94,1360
3/11/2021,836.6,957.7,1360
3/18/2021,836.6,958.16,1360
3/25/2021,836.6,967.88,1320
4/1/2021,860,968.97,1280
4/8/2021,860,962.27,1240
4/15/2021,860,988.36,1240
4/22/2021,860,1056.83,1333
4/29/2021,860,1081.08,1300
5/6/2021,860,1112.35,1333
5/20/2021,1000,1145.84,1360
5/27/2021,1000,1144.7,1333.33
6/3/2021,1000,1136.15,1360
6/10/2021,1000,1134.92,1320
6/17/2021,1020,1135.51,1300
6/24/2021,860,1137.15,1300
7/1/2021,860,1125.22,1300
7/8/2021,860,1122.72,1300
7/15/2021,860,1128,1300
7/29/2021,1020,1134.58,1300
8/5/2021,1020,1133.46,1300
8/12/2021,1020,1133.53,1350
8/26/2021,1020,1137.08,1350
9/2/2021,1020,1164.22,1350
9/9/2021,1050,1222.07,1400
2021-09-16,1050.0,1234.18,1440.0
2021-09-23,1100.0,1214.43,1440.0
