Date,Min,Avg,Max
2019-09-05,864.0,864.0,864.0
2019-09-12,864.0,864.0,864.0
2019-09-19,864.0,864.0,864.0
2019-09-26,864.0,864.0,864.0
2019-10-03,864.0,864.0,864.0
2019-10-10,864.0,864.0,864.0
2019-10-17,864.0,864.0,864.0
2019-10-24,896.0,896.0,896.0
2019-10-31,896.0,896.0,896.0
2019-11-07,808.0,808.0,808.0
2019-11-14,808.0,808.0,808.0
2019-11-21,808.0,808.0,808.0
2019-11-28,808.0,808.0,808.0
2019-12-05,808.0,808.0,808.0
2019-12-12,808.0,808.0,808.0
2019-12-19,808.0,808.0,808.0
2019-12-26,808.0,808.0,808.0
2020-01-02,808.0,808.0,808.0
2020-01-09,808.0,808.0,808.0
2020-01-16,808.0,808.0,808.0
2020-01-23,805.0,805.0,805.0
2020-01-30,805.0,805.0,805.0
2020-02-06,805.0,805.0,805.0
2020-02-13,805.0,805.0,805.0
2020-02-20,805.0,805.0,805.0
2020-02-27,805.0,805.0,805.0
2020-03-05,805.0,805.0,805.0
2020-03-12,805.0,805.0,805.0
2020-03-19,805.0,805.0,805.0
2020-03-26,805.0,805.0,805.0
2020-04-02,805.0,805.0,805.0
2020-04-09,805.0,805.0,805.0
2020-04-16,805.0,805.0,805.0
2020-04-23,805.0,805.0,805.0
2020-04-30,805.0,805.0,805.0
2020-05-07,805.0,805.0,805.0
2020-05-14,805.0,805.0,805.0
2020-05-21,805.0,805.0,805.0
2020-05-28,805.0,805.0,805.0
2020-06-04,968.0,968.0,968.0
2020-06-11,1008.0,1008.0,1008.0
2020-06-18,1040.0,1040.0,1040.0
2020-06-25,1040.0,1040.0,1040.0
2020-07-02,1040.0,1040.0,1040.0
2020-07-09,1088.0,1088.0,1088.0
2020-07-16,860.0,860.0,860.0
2020-07-23,860.0,860.0,860.0
2020-07-29,860.0,860.0,860.0
2020-08-06,860.0,860.0,860.0
2020-08-13,860.0,860.0,860.0
2020-08-20,860.0,860.0,860.0
2020-08-27,860.0,860.0,860.0
2020-09-03,860.0,860.0,860.0
2020-09-10,860.0,860.0,860.0
2020-09-17,860.0,860.0,860.0
2020-09-24,860.0,860.0,860.0
2020-10-01,860.0,860.0,860.0
2020-10-08,860.0,860.0,860.0
2020-10-15,860.0,860.0,860.0
2020-10-22,860.0,860.0,860.0
2020-10-29,860.0,860.0,860.0
2020-11-05,860.0,860.0,860.0
2020-11-12,860.0,860.0,860.0
2020-11-19,860.0,860.0,860.0
2020-11-26,860.0,860.0,860.0
2020-12-03,860.0,860.0,860.0
2020-12-10,860.0,860.0,860.0
2020-12-17,860.0,860.0,860.0
2020-12-24,860.0,860.0,860.0
2020-12-31,860.0,860.0,860.0
2021-01-07,860.0,860.0,860.0
2021-01-14,860.0,860.0,860.0
2021-01-21,860.0,860.0,860.0
2021-01-28,860.0,860.0,860.0
2021-02-04,860.0,860.0,860.0
2021-02-11,860.0,860.0,860.0
2021-02-18,860.0,860.0,860.0
2021-02-25,860.0,860.0,860.0
2021-03-04,860.0,860.0,860.0
2021-03-11,860.0,860.0,860.0
2021-03-18,860.0,860.0,860.0
2021-03-25,860.0,860.0,860.0
2021-04-01,860.0,860.0,860.0
2021-04-08,860.0,860.0,860.0
2021-04-15,1146.66,1146.0,1146.0
2021-04-22,1106.66,1106.0,1106.0
2021-04-29,1106.66,1106.0,1106.0
2021-05-06,1106.66,1106.0,1106.0
2021-05-20,1106.66,1106.0,1106.0
2021-05-27,1106.66,1106.0,1106.0
2021-06-03,1106.66,1106.0,1106.0
2021-06-10,1106.66,1106.0,1106.0
2021-06-17,1120.0,1120.0,1120.0
2021-06-24,1133.0,1133.0,1133.0
2021-07-01,1010.0,1045.41,1120.0
2021-07-08,1010.0,1045.41,1120.0
2021-07-15,1010.0,1045.41,1120.0
2021-07-29,1050.0,1050.0,1050.0
2021-08-05,1050.0,1050.0,1050.0
2021-08-12,1050.0,1050.0,1050.0
2021-08-26,1050.0,1050.0,1050.0
2021-09-02,1050.0,1050.0,1050.0
2021-09-09,1050.0,1050.0,1050.0
2021-09-16,1050.0,1050.0,1050.0
2021-09-23,1100.0,1100.0,1100.0
2021-09-30,1100.0,1100,1100
2021-10-07,1100.0,1100,1100
2021-10-14,1100.0,1100,1100
2021-10-21,1100.0,1100,1100
2021-10-28,1100.0,1100,1100
2021-12-02,1100.0,1100,1100
2021-11-04,1100.0,1100,1100
2021-11-11,1100.0,1100,1100
2021-11-18,1100.0,1100,1100
2021-11-25,1100.0,1100,1100
2021-12-08,1100.0,1100,1100
2021-12-15,1100.0,1100,1100
