Date,Min,Avg,Max
2019-09-05,880.0,880.0,880.0
2019-09-12,920.0,920.0,920.0
2019-09-19,920.0,920.0,920.0
2019-09-26,920.0,920.0,920.0
2019-10-03,920.0,920.0,920.0
2019-10-10,920.0,920.0,920.0
2019-10-17,940.0,940.0,940.0
2019-10-24,940.0,940.0,940.0
2019-10-31,980.0,980.0,980.0
2019-11-07,1000.0,1013.16,1040.0
2019-11-14,1020.0,1020.0,1020.0
2019-11-21,1020.0,1020.0,1020.0
2019-11-28,1000.0,1000.0,1000.0
2019-12-05,980.0,980.0,980.0
2019-12-12,980.0,980.0,980.0
2019-12-19,980.0,980.0,980.0
2019-12-26,980.0,980.0,980.0
2020-01-02,980.0,980.0,980.0
2020-01-09,1060.0,1060.0,1060.0
2020-01-16,1080.0,1080.0,1080.0
2020-01-23,1120.0,1120.0,1120.0
2020-01-30,1030.0,1030.0,1030.0
2020-02-06,1000.0,1000.0,1000.0
2020-02-13,1000.0,1000.0,1000.0
2020-02-20,930.0,930.0,930.0
2020-02-27,900.0,900.0,900.0
2020-03-05,910.0,910.0,910.0
2020-03-12,1000.0,1000.0,1000.0
2020-03-19,1000.0,1000.0,1000.0
2020-03-26,1000.0,1000.0,1000.0
2020-04-02,920.0,920.0,920.0
2020-04-09,850.0,850.0,850.0
2020-04-16,820.0,820.0,820.0
2020-04-23,840.0,840.0,840.0
2020-04-30,820.0,820.0,820.0
2020-05-07,820.0,820.0,820.0
2020-05-14,820.0,820.0,820.0
2020-05-21,840.0,840.0,840.0
2020-05-28,860.0,860.0,860.0
2020-06-04,920.0,920.0,920.0
2020-06-11,920.0,920.0,920.0
2020-06-18,940.0,940.0,940.0
2020-06-25,940.0,940.0,940.0
2020-07-02,980.0,980.0,980.0
2020-07-09,1020.0,1020.0,1020.0
2020-07-16,1060.0,1060.0,1060.0
2020-07-23,1140.0,1140.0,1140.0
2020-07-29,1140.0,1140.0,1140.0
2020-08-06,1140.0,1140.0,1140.0
2020-08-13,1160.0,1160.0,1160.0
2020-08-20,1140.0,1140.0,1140.0
2020-08-27,1120.0,1120.0,1120.0
2020-09-03,1120.0,1120.0,1120.0
2020-09-10,1200.0,1200.0,1200.0
2020-09-17,1180.0,1180.0,1180.0
2020-09-24,1180.0,1180.0,1180.0
2020-10-01,1200.0,1200.0,1200.0
2020-10-08,1300.0,1300.0,1300.0
2020-10-15,1240.0,1240.0,1240.0
2020-10-22,1240.0,1240.0,1240.0
2020-10-29,1210.0,1210.0,1210.0
2020-11-05,836.6,953.86,1240.0
2020-11-12,836.6,953.86,1240.0
2020-11-19,836.6,953.86,1240.0
2020-11-26,836.6,943.49,1200.0
2020-12-03,836.6,932.89,1160.0
2020-12-10,836.6,927.5,1140.0
2020-12-17,836.6,922.04,1120.0
2020-12-24,836.6,943.49,1200.0
2020-12-31,836.6,943.49,1200.0
2021-01-07,836.6,943.49,1200.0
2021-01-14,836.6,958.96,1260.0
2021-01-21,836.6,953.86,1240.0
2021-01-28,836.6,948.71,1220.0
2021-02-04,836.6,948.71,1220.0
2021-02-11,836.6,948.71,1220.0
2021-02-18,836.6,948.71,1220.0
2021-02-25,836.6,948.71,1220.0
2021-03-04,836.6,958.96,1260.0
2021-03-11,836.6,958.96,1260.0
2021-03-18,836.6,958.96,1260.0
2021-03-25,836.6,938.22,1180.0
2021-04-01,1100.0,1113.17,1140.0
2021-04-08,1100.0,1113.17,1140.0
2021-04-15,1080.0,1080.0,1080.0
2021-04-22,1080.0,1080.0,1080.0
2021-04-29,1080.0,1080.0,1080.0
2021-05-06,1080.0,1080.0,1080.0
2021-05-20,1120.0,1120.0,1120.0
2021-05-27,1120.0,1120.0,1120.0
2021-06-03,1120.0,1120.0,1120.0
2021-06-10,1120.0,1120.0,1120.0
2021-06-17,1120.0,1120.0,1120.0
2021-06-24,1140.0,1140.0,1140.0
2021-07-01,1140.0,1140.0,1140.0
2021-07-08,1140.0,1140.0,1140.0
2021-07-15,1140.0,1140.0,1140.0
2021-07-29,1140.0,1140.0,1140.0
2021-08-05,1140.0,1140.0,1140.0
2021-08-12,1140.0,1140.0,1140.0
2021-08-26,1140.0,1140.0,1140.0
2021-09-02,1160.0,1160.0,1160.0
2021-09-09,1220.0,1220.0,1220.0
2021-09-16,1260.0,1260,1260
2021-09-23,1260.0,1260,1260
